index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,2.0,-97.84601804246805,"[97.87742728985131, 98.02078145467719, 97.79986861101263, 97.74174651673665, -1.866843190923506, 97.96247335064112, 97.9842678243642, 98.07562976432193, 98.138186726592, 97.82898780821954]",10.0,0.0,0.0,20.0,2021-09-14 17:03:54.419974
1,1.0,2.0,-98.1381219941456,"[97.97369497705026, 98.13473856744938, -1.872917122639506, 97.80256819774189, 97.73993119196881, 98.0727015445189, -1.8768477687270277, -1.8575468154021488, 97.80314532221799, 97.79752051832817]",10.0,0.0,0.0,30.0,2021-09-14 17:03:55.241680
2,2.0,2.0,1.8605235109960347,"[-1.93043816191936, -1.9215036166819828, -1.8776731197127188, 98.10040506675438, 98.0988619753775, 97.76231492959124, 98.05601832106257, -1.868468913124753, -1.87566297868542, 97.8970189646911]",10.0,0.0,0.0,40.0,2021-09-14 17:03:56.053759
3,3.0,2.0,1.8765861794419878,"[98.03212587834531, 97.87021179847599, 98.04122933368912, -1.8975825392149415, -1.8521382494629566, -1.8607901891971081, -1.865351394120223, -1.8526923300084164, 98.07561310300999, -1.896011616823664]",10.0,0.0,0.0,50.0,2021-09-14 17:03:56.869210
4,4.0,2.0,1.9324409181907023,"[-2.070791325757368, -1.862367237374211, 98.00918262119785, -1.8543969426193274, -1.8813589009623883, -1.9061708132283053, -1.9007412776628585, -1.8417479867890334, -1.9059020387451733, -1.8656439263012803]",10.0,0.0,0.0,60.0,2021-09-14 17:03:57.731295
5,5.0,2.0,1.9465523467200712,"[-1.8819127112397906, -1.881875397208453, -1.8989219960599635, -1.8464498841173846, -2.0076278851039713, -1.9028676694045166, -1.8674687369724796, -1.8731280265710337, 98.12097014126053, -1.8969977210698166]",10.0,0.0,0.0,70.0,2021-09-14 17:03:58.630810
6,6.0,2.0,1.9239878535443746,"[97.94105308997807, -1.9803801450466376, -1.860900625732988, -2.0525440145786433, -1.9147001784679236, -1.9229106541102128, -1.9355190624113228, -1.9459305651439822, -1.865433042124617, -1.8794390105076189]",10.0,0.0,0.0,80.0,2021-09-14 17:03:59.462246
7,7.0,2.0,2.0412465167963605,"[-1.8660875392524867, 98.02528486175578, -2.0456583258958787, -1.9035615531000452, -1.867881953807163, -1.9122343868469043, -1.9902065692133608, -1.9132299697698327, -1.9381997933014268, -2.0449690194202628]",10.0,0.0,0.0,90.0,2021-09-14 17:04:00.279632
8,8.0,2.0,1.9436320701624208,"[97.8944967269275, -1.8812279404869026, -1.8474850771872564, -1.9643438716557788, 97.95114124413563, -1.9216828323502448, 98.01462958594117, -1.8733878775900537, -1.8932997243727032, -1.8982148626742303]",10.0,0.0,0.0,100.0,2021-09-14 17:04:01.095524
9,9.0,2.0,1.9171679324710134,"[-1.870313538898268, 98.07904591161845, -1.8853642051243922, -1.9675047301215287, -1.9117077711028743, -1.914729926126644, -1.8979756128864522, -1.8957249888218084, -1.876660341690443, -1.904091437648828]",10.0,0.0,0.0,110.0,2021-09-14 17:04:01.908139
10,10.0,2.0,2.0065325981993904,"[-1.959431130364443, -1.869170625583749, 97.8099146592036, -1.9170185473117631, -2.0436193509026226, 98.02636381452486, 98.13047095010094, -1.9094565817783455, -1.976633589726873, -1.8927817815275292]",10.0,0.0,0.0,120.0,2021-09-14 17:04:02.720536
11,11.0,2.0,2.081290111227212,"[-1.8832243250309284, -2.053194039847292, -1.9034746179430804, -2.0320503893678667, -1.9261223305754722, -2.017755751418653, -2.0433533575427116, 97.94596305395241, -1.9942633965151668, -1.8993420711605378]",10.0,0.0,0.0,130.0,2021-09-14 17:04:03.537283
12,12.0,2.0,2.043023538152,"[97.99913977221668, -1.8922494542615889, 97.74173511921983, 97.8255740885648, -1.8988737107090705, -1.869128110642402, 97.99093190651094, -1.8906018943799434, -1.9519579039883548, -2.1760432361496913]",10.0,0.0,0.0,140.0,2021-09-14 17:04:04.353267
13,13.0,2.0,2.0073926896197034,"[-1.970838072524813, -1.9610507879889802, -2.1580556963781246, -2.0341096073229217, -1.8875259240806173, -1.9630443158126423, -1.930309480712081, -1.8783325439886525, -2.0100204579406498, -2.0255810382728545]",10.0,0.0,0.0,150.0,2021-09-14 17:04:05.164672
14,14.0,2.0,2.0241894185904705,"[-2.1789250838191108, 97.8104198537752, -1.8738712636651895, 97.97649220014601, -1.93608075725428, 97.7101391152617, -1.9434055757535893, -2.0000213359858843, -1.913659610257927, -1.8598454524172816]",10.0,0.0,0.0,160.0,2021-09-14 17:04:05.977199
15,15.0,2.0,2.067434790214965,"[-1.9483484635381907, -2.062401972081236, -1.902342100635223, 97.96890747803687, -2.0717869226610373, -1.938405728150719, -1.8705635707987274, 98.03871239937332, -2.20707604694045, -1.878851970783411]",10.0,0.0,0.0,170.0,2021-09-14 17:04:06.790034
16,16.0,2.0,2.2252277567882097,"[-2.1527682292255106, -2.0346858861547235, 97.72526115508397, -2.023345838495111, -1.8986657078084677, -1.8872495210875355, -2.0206571755238727, -2.1934894183036366, -1.9980010493683766, -2.0837876953047956]",10.0,0.0,0.0,180.0,2021-09-14 17:04:07.603035
17,17.0,2.0,2.2105198095655565,"[-1.8762508881766515, -1.874232345767445, -1.976441664787324, -2.0529170763495137, -2.1950780674612207, -2.109124692436011, -1.8788996283175632, 97.78835438722727, -1.8615613531322523, -1.992767528941955]",10.0,0.0,0.0,190.0,2021-09-14 17:04:08.416415
