index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,3.0,94.48997891755266,"[-93.64501084911394, -93.34977312018388, -93.24389477182248, -93.61020705426442, -93.76539949663172, -94.77056441527861, -92.75110121734437, -92.89736273036573, -94.49930232299269, -93.34091929121996]",15.0,0.0,0.0,20.0,2021-09-14 16:25:14.719728
1,1.0,3.0,95.21181099705245,"[-95.38595990225315, -94.21646257502591, -94.8821128390063, -94.85792479285763, -94.11312327625984, -95.07835688194686, -94.92110406053865, -94.48334796151093, -93.95598890275653, -94.07046712090569]",15.0,0.0,0.0,30.0,2021-09-14 16:25:15.516096
2,2.0,3.0,95.41482270265386,"[-94.16153467531538, -94.32044793812155, -95.33792889910225, 196.02795884071665, -94.27463539754247, -94.8554860707359, -94.83778417668228, -95.40917486898903, -95.35830471307543, -95.36553550638834]",15.0,0.0,0.0,40.0,2021-09-14 16:25:16.314705
3,3.0,3.0,95.39925732482767,"[-94.87598501715276, -83.86622662206624, 166.55517900748467, -84.70617560872574, -94.23182561474545, -94.77248317782337, -94.90775538758767, -94.89716131098483, -93.80653208747069, -96.02723847762773]",15.0,0.0,0.0,50.0,2021-09-14 16:25:17.112649
4,4.0,3.0,95.78802091820486,"[-94.93734253638296, -94.99994117940392, -94.94160012011324, -84.79385626824056, -94.76040853729826, -95.8171335415965, -95.84706269949453, -95.39174263116679, -95.59642430971164, -95.76246412284708]",15.0,0.0,0.0,60.0,2021-09-14 16:25:17.908805
5,5.0,3.0,96.74359787114889,"[-95.69761428914924, -96.40780126090227, -95.67807742845137, -95.27632506459452, -96.39053250230084, -95.61258911985576, -94.60726725678002, -95.70448926118625, -96.5718514259696, 282.07442940017273]",15.0,0.0,0.0,70.0,2021-09-14 16:25:18.706312
6,6.0,3.0,96.99561480580729,"[-94.40989627813444, -96.19994750919498, -95.07753879813687, -96.76744192196043, -95.8713219452878, -87.3073713160432, -94.62799515401376, -95.16308267361191, -96.61868382977602, -99.21081014161095]",15.0,0.0,0.0,80.0,2021-09-14 16:25:19.530415
7,7.0,3.0,97.46415528057176,"[-95.87574027564858, -83.22600646483458, -95.49677020870071, 256.063875436155, -96.43612093725022, -85.74591080506394, -95.95404669672, -84.84032110970651, -97.62525807094208, -111.58123250513638]",15.0,0.0,0.0,90.0,2021-09-14 16:25:20.353681
8,8.0,3.0,354.13926015296306,"[-349.1968899180987, -96.02052702967566, -98.72936117099812, -96.21181370810707, -86.09790237676165, -95.62141701626513, -97.20269484205042, -102.6310859061424, -100.01779821402023, -84.90903018705818]",15.0,1.0,0.1,100.0,2021-09-14 16:25:21.186525
9,9.0,3.0,98.26386086697111,"[-95.67207498139051, -95.58032857228537, -97.0785260946287, -84.37319388237745, -77.22165407324975, -95.44559308850572, -95.4475532475297, -95.02115075068956, -339.14013267479277, -74.79055614110075]",15.0,0.0,0.1,110.0,2021-09-14 16:25:22.014854
10,10.0,3.0,99.0515331471344,"[-235.6895203533456, -96.80595709141346, -96.08418334921194, -98.88754720002649, -95.67391643093647, -87.43867536349322, -96.5566208019343, -94.32038139420993, -96.94400062612416, 226.295692867103]",15.0,0.0,0.1,120.0,2021-09-14 16:25:22.846291
11,11.0,3.0,337.7704255503365,"[-86.78669446543795, -89.26220935709176, -301.4439733613306, -96.81347233687497, -96.7452078760961, -337.4206162979496, -95.76187062470267, -95.29172005361507, -96.97102266270012, -86.84277549109673]",15.0,1.0,0.2,130.0,2021-09-14 16:25:23.682259
12,12.0,3.0,99.34263748873984,"[-354.02268777602325, -147.7542807720008, -354.1499090087631, -35.29139746700575, -86.90376404671073, -99.47849762007874, -86.46179844517204, -87.98655979175686, -99.20615010458467, -88.91559831152234]",15.0,0.0,0.2,140.0,2021-09-14 16:25:24.512103
13,13.0,3.0,99.48222887938257,"[-89.35501372899631, -85.89016452853791, -86.77726828725598, -96.45151701598672, -96.41726645660884, -92.39675685817494, -95.57480231176696, -99.69559460934197, -98.94646682117819, -89.14096612200653]",15.0,0.0,0.0,150.0,2021-09-14 16:25:25.332040
14,14.0,3.0,99.3673020002146,"[-96.35895276415016, -332.5470478902233, -76.22480695177339, -121.88894898520451, -96.37925002736014, -97.01583366388918, -96.43770710460385, -99.4425242583785, -89.99770807156185, -96.1642508956214]",15.0,0.0,0.1,160.0,2021-09-14 16:25:26.158824
15,15.0,3.0,89.15729504987435,"[-99.87025251626612, -99.43954185268896, -89.21417669624275, -225.4562483737703, -89.36804324605556, -75.66450029377054, -144.99998503643195, -92.04556480792623, -96.9017483594465, -94.82679509393284]",15.0,0.0,0.1,170.0,2021-09-14 16:25:26.988371
16,16.0,3.0,89.2717323817957,"[-89.50747285861428, 174.7542941698883, -89.07064063945315, -96.29021064602118, -337.721440905082, -117.92210955087202, -124.88717609204414, -89.10792802315865, -89.55255307348965, -89.79822393038772]",15.0,0.0,0.1,180.0,2021-09-14 16:25:27.812003
17,17.0,3.0,89.22566097474868,"[-89.15187558758933, -89.04469785460384, -135.00828811429705, -44.983829993128595, -89.89177952153818, -86.87774276019857, -55.21065059598306, -64.93370027565577, -76.57396325627474, -89.18408605064211]",15.0,0.0,0.0,190.0,2021-09-14 16:25:28.636100
18,18.0,3.0,89.32133890259419,"[-99.39661009403551, -81.83188144628019, -66.37629854517073, -79.20413584595117, -79.51447925612707, 245.36428020290788, -118.96941611677852, -327.46960765213487, -76.50207410374868, -78.99716154967092]",15.0,0.0,0.1,200.0,2021-09-14 16:25:29.466131
19,19.0,3.0,90.91192391115707,"[-89.24368390882226, -87.06492128111694, -89.59800172523538, -86.60987420994864, -89.28571332650576, -76.34642821480546, -89.33535319051917, -96.22611282961255, -79.76178062017752, -89.51940958094077]",15.0,0.0,0.0,210.0,2021-09-14 16:25:30.295137
20,20.0,3.0,97.12992972057906,"[-88.33899378273111, -140.58747641118143, -89.30188447686028, -94.89416096144636, -88.8026250229738, -75.75463579197364, -84.51662134012811, -99.18520315705311, -83.69197063660513, -88.9877725666598]",15.0,0.0,0.0,220.0,2021-09-14 16:25:31.134269
21,21.0,3.0,99.40037010079772,"[-86.32210633885381, -90.41051629567542, -93.35539748002985, -89.35727155071368, -100.14010537268003, -94.46971446003383, -84.45988994662652, -90.32547871094208, -94.81584890876428, -89.52834743092399]",15.0,0.0,0.0,230.0,2021-09-14 16:25:31.963451
