index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,4.0,-57.26055790281989,"[59.09798857738713, 58.67310503363092, 59.21239728690754, 57.56495239677226, 58.7100073834595, 58.73633549302761, 59.117067668639066, 58.2552571979606, 1389.280848921167, 56.31416744368384]",20.0,0.0,0.0,20.0,2021-09-14 18:15:53.880094
1,1.0,4.0,-55.72559146198129,"[56.62782487217011, 57.119336223655075, 1199.0273789629596, 55.61963498039404, 55.82850281251871, 56.321432964012175, 58.715431266673555, 57.396679532987825, 56.46137084934962, 56.0142369757289]",20.0,0.0,0.0,30.0,2021-09-14 18:15:54.676785
2,2.0,4.0,-55.04357090325109,"[55.80625004337203, 57.68602420377182, 56.03570942638343, 57.76028907516432, 56.573173329901195, 55.57607736018934, 55.74677653221079, 55.57255755801996, 58.15649391931593, 55.26979988856065]",20.0,0.0,0.0,40.0,2021-09-14 18:15:55.475865
3,3.0,4.0,-54.2284159955,"[55.89795969275288, 56.640724959800465, 55.032019311115754, 54.9610796453108, 55.40216449372321, 54.942989054385734, 55.29581612937197, 1346.829176448378, 55.91264198040782, 55.291468407171564]",20.0,0.0,0.0,50.0,2021-09-14 18:15:56.278745
4,4.0,4.0,-53.41662109819535,"[1335.6724663287227, 1321.5069534520248, 55.77109942605157, 56.875981679905294, 57.72364522383256, 54.321918976147636, 54.32797092639997, 1336.833922173282, 57.709832225299536, 53.7341632553723]",20.0,0.0,0.0,60.0,2021-09-14 18:15:57.086174
5,5.0,4.0,-53.50863508152349,"[54.124176035539286, 56.62750905260623, 1366.7380796487394, 56.84225799345527, 53.89086476457642, 1344.46666780377, -629.3112551751989, 55.08218810749233, 55.42075109073049, 1307.7244566935615]",20.0,0.0,0.1,70.0,2021-09-14 18:15:57.946515
6,6.0,4.0,-1303.107751466037,"[55.32330540145507, 1338.096526558853, 54.589388063617605, 1120.6958850954502, 54.110114812188534, 53.830675591333055, 51.96306652146797, 53.46635961806409, -624.7974042577105, 53.159861762597174]",20.0,0.0,0.1,80.0,2021-09-14 18:15:58.787998
7,7.0,4.0,-1063.888123152717,"[53.452792352134274, -630.0001268654854, 1367.8743453257512, 54.9079745933912, 54.19023951827708, 1422.908968052029, 56.35490895361514, 53.19636624365726, 56.830146128288575, 54.495858154241404]",20.0,0.0,0.1,90.0,2021-09-14 18:15:59.593040
8,8.0,4.0,629.6685934969529,"[55.14699283294543, 1329.149660917204, 1351.6016629666733, 1368.1328842493579, 1353.5074293021244, 57.134103950587786, 53.963099105672896, 1363.8152671937542, 53.091810203212056, 21.23882176745602]",20.0,1.0,0.0,100.0,2021-09-14 18:16:00.429258
9,9.0,4.0,-1264.822642743397,"[55.92423469212487, 1327.6466107213143, 54.53032786162688, -629.4799151097066, 1349.5601270485786, 20.59818353141787, 54.23619810594804, 1371.5898345336634, 48.13510044607605, 1339.0304550871601]",20.0,0.0,0.1,110.0,2021-09-14 18:16:01.247474
10,10.0,4.0,-1292.6097571017679,"[22.219481681052457, 54.629207920403054, -629.7159874557751, -629.8818585743057, 1327.8773196295704, 1335.34586907958, 1321.266331985504, -624.4867995489296, 55.628285823273465, 1341.5910817018128]",20.0,0.0,0.3,120.0,2021-09-14 18:16:02.069165
