,train/actor_loss,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward,time/fps
0,-14.031807899475098,0.5005801320075989,0.9231829047203064,-0.6713293194770813,9.999999747378752e-05,225.0,-161.02476501464844,134.0
1,-24.72896957397461,0.1808418482542038,0.8437048196792603,-1.4243252277374268,9.999999747378752e-05,225.0,-169.89498901367188,112.0
2,-33.95502853393555,0.3221757411956787,0.7711700797080994,-2.1688477993011475,9.999999747378752e-05,225.0,-160.75851440429688,106.0
3,-42.153724670410156,0.2008592188358307,0.7049051523208618,-2.929490089416504,9.999999747378752e-05,225.0,-160.1768035888672,104.0
4,-47.4539680480957,0.2610185742378235,0.6442678570747375,-3.6704254150390625,9.999999747378752e-05,225.0,-154.50033569335938,102.0
5,-52.02875518798828,0.21169528365135193,0.5888094902038574,-4.450118541717529,9.999999747378752e-05,225.0,-156.24603271484375,101.0
6,-56.653076171875,0.18137340247631073,0.5381267666816711,-5.179596424102783,9.999999747378752e-05,225.0,-148.03260803222656,101.0
7,-59.41710662841797,0.27746641635894775,0.4918537437915802,-5.891211986541748,9.999999747378752e-05,225.0,-147.7642822265625,100.0
8,-62.57141876220703,0.35644078254699707,0.44957634806632996,-6.665095806121826,9.999999747378752e-05,225.0,-145.71615600585938,100.0
9,-62.07295608520508,0.26471295952796936,0.4109749495983124,-7.401093006134033,9.999999747378752e-05,225.0,-147.2333526611328,99.0
10,-66.04570770263672,0.21396757662296295,0.375705748796463,-8.142218589782715,9.999999747378752e-05,225.0,-142.28138732910156,101.0
11,-65.865478515625,0.16182082891464233,0.3434504270553589,-8.951984405517578,9.999999747378752e-05,225.0,-142.00987243652344,100.0
12,-66.33421325683594,0.16340750455856323,0.31394246220588684,-9.62094497680664,9.999999747378752e-05,225.0,-145.39942932128906,100.0
13,-62.34637451171875,0.1327056586742401,0.2869568169116974,-10.297865867614746,9.999999747378752e-05,225.0,-137.22952270507812,100.0
14,-60.161399841308594,0.12815514206886292,0.2622857987880707,-11.048815727233887,9.999999747378752e-05,225.0,-136.076904296875,100.0
15,-62.25950241088867,0.1292494833469391,0.23974469304084778,-11.807576179504395,9.999999747378752e-05,225.0,-140.30520629882812,99.0
16,-62.19291305541992,0.11853267252445221,0.21913807094097137,-12.484281539916992,9.999999747378752e-05,225.0,-133.35769653320312,99.0
17,-57.267704010009766,0.09483753144741058,0.2003115564584732,-13.289729118347168,9.999999747378752e-05,225.0,-132.4922637939453,99.0
18,-56.11149597167969,0.07736235857009888,0.18311041593551636,-13.965916633605957,9.999999747378752e-05,225.0,-131.93190002441406,99.0
19,-55.03607940673828,0.060409754514694214,0.1673889458179474,-14.50127124786377,9.999999747378752e-05,225.0,-132.59808349609375,99.0
20,-50.40854263305664,0.06377655267715454,0.15301287174224854,-15.409751892089844,9.999999747378752e-05,225.0,-129.10983276367188,100.0
21,-49.38373947143555,0.049333661794662476,0.1398787647485733,-16.014738082885742,9.999999747378752e-05,225.0,-136.3768310546875,99.0
22,-48.83574295043945,0.04764821380376816,0.1278621256351471,-16.55820083618164,9.999999747378752e-05,225.0,-129.82608032226562,99.0
23,-44.669525146484375,0.03968168795108795,0.11687856167554855,-17.50223731994629,9.999999747378752e-05,225.0,-131.54457092285156,99.0
24,-45.05990219116211,0.03405652195215225,0.106830894947052,-18.44849395751953,9.999999747378752e-05,225.0,-129.2127685546875,99.0
25,-42.609012603759766,0.03635244816541672,0.09764772653579712,-18.909076690673828,9.999999747378752e-05,225.0,-135.83029174804688,99.0
