index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,1.0,-1.1147075718163575,"[1.1962711534002435, 1.102540893930546, 1.1696831771316292, 1.158373302580332, 1.0755011304795337, 1.176324336406244, 1.1419957925805444, 1.1443317656716567, 1.1710278756718653, 1.1166433781250573]",5.0,0.0,0.0,20.0,2021-09-14 18:24:20.955080
1,1.0,1.0,-1.016365346720762,"[1.091001505273795, 0.9884653042411614, 1.1059578844287528, 1.1095096477804098, 1.1660660972991577, 1.1481458753992884, 1.1342583958821926, 1.0521297755917227, 101.02452545721538, 1.1008709764506295]",5.0,0.0,0.0,30.0,2021-09-14 18:24:21.750811
2,2.0,1.0,-0.9899921754543025,"[1.0164560798696838, 1.0159433346114046, 1.0155715745064648, 1.0655815955061774, 0.9603920318071854, 1.0045869762357589, 1.0652787088944824, 1.0610481138820502, 1.0730406317328272, 1.0317703572377244]",5.0,0.0,0.0,40.0,2021-09-14 18:24:22.555227
3,3.0,1.0,-0.975341775287426,"[101.08500265137121, 1.0381634997916545, 0.9302509390683249, 1.0079721224646625, 0.9622258948481998, 1.0427039050992049, 1.068074238477892, 0.9766417400933121, 1.023589216709622, 0.9946321960773606]",5.0,0.0,0.0,50.0,2021-09-14 18:24:23.407138
4,4.0,1.0,-0.9457823143412751,"[0.9581155554404113, 0.9843240535595525, 0.9309835180608945, 0.9680127579476634, 0.9967416765573455, 101.01200708057445, 1.0356602512725501, 0.9752213981558886, 1.01447789117714, 1.0613231781627077]",5.0,0.0,0.0,60.0,2021-09-14 18:24:24.275098
5,5.0,1.0,-0.9167875869602499,"[0.9443310627159949, 0.9602637353522132, 0.9103965192003428, 0.9267002923324983, 0.9120026359769061, 1.0473717635503517, 0.9156624256292765, 0.9225495659216775, 0.9866400243888152, 1.0063337300745625]",5.0,0.0,0.0,70.0,2021-09-14 18:24:25.080695
6,6.0,1.0,-0.8707224832302743,"[0.9239776386147492, 0.9131094563954995, 0.9191015635807591, 0.9527713417831791, 1.0426674308389594, 0.9775163679247749, 0.8859422232600368, 0.8243824598657016, 0.8114160511499734, 0.9617249662410895]",5.0,0.0,0.0,80.0,2021-09-14 18:24:25.879934
7,7.0,1.0,-0.7853664616030536,"[0.8244729221372733, 101.05626058426792, 0.9276402780257677, 0.9001289506304756, 0.9160443637500946, 0.9015837967946831, 0.9254401548067512, 0.8862819917868161, 0.923531488056432, 0.598650779920404]",5.0,0.0,0.0,90.0,2021-09-14 18:24:26.678244
8,8.0,1.0,-0.5288754740299082,"[0.9664384117564677, 0.7708363390436833, 0.9194245577429868, 0.7569875576050342, 0.9054932924413295, 0.8918882548985726, 100.71994435365333, 0.47121660750952804, 0.6499972158668295, 0.8933773936515796]",5.0,0.0,0.0,100.0,2021-09-14 18:24:27.526864
9,9.0,1.0,-0.325409189088166,"[100.676148494212, 0.4523121712667536, 0.798633829948399, 0.5712273336091178, 0.5978214725287614, 0.22441157583043592, 0.7712820553510426, 100.95293509763331, 0.9196012559975703, 0.7432918436157572]",5.0,0.0,0.0,110.0,2021-09-14 18:24:28.390068
