index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,1.0,56.56985202570009,"[-55.43496191029938, -13.338345766758634, -53.66275548371854, 63.09691602440776, -54.012999540541166, -58.359301446619725, -54.370291902477014, -52.75446829412597, -53.40507164153329, -54.954990569578115]",5.0,0.0,0.0,20.0,2021-09-14 19:06:34.703751
1,1.0,1.0,58.99238378654691,"[-59.26306566654488, -56.33211176735098, -52.73802011965035, -53.67891760794818, -58.036535958591465, -58.88319935130957, -57.15691916834904, -57.04084301030009, -57.95897138232122, -55.89807873465968]",5.0,0.0,0.0,30.0,2021-09-14 19:06:35.563044
2,2.0,1.0,59.89830843428728,"[-54.76042809930696, -56.114251449406446, -59.35218235877758, -57.35587593710522, 276.15651728599266, -59.96559059370842, -58.89563302502684, -57.03095068705155, -60.273830164763865, -56.36938164192244]",5.0,0.0,0.0,40.0,2021-09-14 19:06:36.384825
3,3.0,1.0,59.573558233096335,"[-56.64217334565971, -58.63044757349858, -56.37944861434885, -58.2946733089673, -58.50643461934049, -59.91690610784389, -57.50554995971656, -58.537543738851106, -56.395035285692124, -59.27807516044202]",5.0,0.0,0.0,50.0,2021-09-14 19:06:37.221198
4,4.0,1.0,60.1996040355867,"[-58.5038628501303, -59.965955865795785, -56.24142886742987, -59.53269069868865, -58.54833032799104, -57.71532613169389, -59.79361099885843, -59.03222459183652, -60.670190707699255, -57.00210672677692]",5.0,0.0,0.0,60.0,2021-09-14 19:06:38.032931
5,5.0,1.0,61.70458227418494,"[-59.65853842243897, -62.511557259079844, -58.46205204676456, -61.46578364738903, -59.99266665691693, -60.07413801684887, -61.43392146337774, -59.23948071228934, -57.128046722762996, -60.32595607026479]",5.0,0.0,0.0,70.0,2021-09-14 19:06:38.836544
6,6.0,1.0,63.25136717470548,"[-61.01714177164854, -62.29947841800787, -60.678210988712394, -62.434163735033685, -61.08359548111921, -60.36062036107291, -63.85118825968147, -60.88621671578105, -62.04528499595428, -61.66272890033423]",5.0,0.0,0.0,80.0,2021-09-14 19:06:39.644585
7,7.0,1.0,63.66840816282501,"[-61.71737593656103, 84.71984556565212, -59.579135995273546, -62.092868019108224, -62.95579201585563, -64.18603376497767, -60.23616871441933, -63.52033212092197, -61.92866173098888, -60.2253538650167]",5.0,0.0,0.0,90.0,2021-09-14 19:06:40.456616
8,8.0,1.0,67.96522656086375,"[-62.97102142258617, -63.62966652298388, -62.85777152439921, -63.432859058405896, -60.7625595783374, -583.837118541327, -66.04288843952278, -52.400073528640355, -63.546437453619596, -62.44232515064988]",5.0,0.0,0.1,100.0,2021-09-14 19:06:41.270204
9,9.0,1.0,77.56604532197221,"[-66.51944089095551, -63.94277776887477, -58.87571600586055, -66.17287857261478, -64.38576219364516, -67.2218806770581, -62.9962419719285, -66.84298208267846, -77.93445211017882, -63.53994685765354]",5.0,0.0,0.0,110.0,2021-09-14 19:06:42.078772
10,10.0,1.0,73.26815229049205,"[-56.45800411735681, -52.98965253523002, -65.43417305190951, -64.50494044578038, -65.86533439955907, -74.76883018053644, -63.76074581133081, -65.8140421429907, -64.90163621598629, -52.24985366501389]",5.0,0.0,0.0,120.0,2021-09-14 19:06:42.889105
11,11.0,1.0,583.3251823320966,"[-65.23437783218834, -64.15485757800936, -57.48548482595795, -48.98864150254498, -63.37548690724745, -66.0195997416648, -53.67166464412936, -577.5851858784299, -65.91352790607831, -62.67542138078399]",5.0,1.0,0.1,130.0,2021-09-14 19:06:43.702826
12,12.0,1.0,83.88536462864046,"[-562.4469791178349, -66.2357448298175, -541.7925558423036, -61.071526197224145, -67.40641811526439, -68.52168621644633, -64.71526713844855, -76.68937623930236, -65.10816687696338, -64.5662674907185]",5.0,0.0,0.2,140.0,2021-09-14 19:06:44.521980
13,13.0,1.0,583.0827739367544,"[-63.84483738327318, -73.36182277833272, -63.88465686299701, -63.18167175534843, 1.235938852273266, -60.85167078532838, -66.48755110685063, -67.9680898648658, -60.19657037648584, -85.0906965429053]",5.0,1.0,0.0,150.0,2021-09-14 19:06:45.333216
14,14.0,1.0,75.0207248241629,"[245.050335740599, -71.86553392365835, -74.9233982820297, -74.61863266470367, -52.29507956989283, -64.41336496261815, -45.6474514434954, -72.24524991170972, -75.5515482777022, -76.00498379186845]",5.0,0.0,0.0,160.0,2021-09-14 19:06:46.143501
15,15.0,1.0,72.83422297766363,"[-66.63749932230196, -66.42668910148195, -63.926990894591874, -75.21709992577992, -63.7023465130137, -73.52947495664284, -52.730570389096194, 238.0426684379796, -582.7323125973985, -48.119101904224166]",5.0,0.0,0.1,170.0,2021-09-14 19:06:46.959808
16,16.0,1.0,583.7553329436724,"[-101.48227918688582, -75.99059990136342, 287.04883019685525, -41.84736758186546, -64.04774492037562, -71.01837913432233, -75.23895740906522, -62.256401173207145, -74.51588608243667, -76.6522800420147]",5.0,1.0,0.0,180.0,2021-09-14 19:06:47.772254
17,17.0,1.0,586.1966653460311,"[-65.03505401216962, -16.616041337031024, -74.10748225222714, -72.0979204311923, -51.414964545386766, -72.4066472429385, -74.01239817078728, -65.79904214375742, -577.9113836261978, -69.17903649529231]",5.0,1.0,0.1,190.0,2021-09-14 19:06:48.598311
18,18.0,1.0,74.65669186911893,"[-61.89217965371345, -60.53735496687672, -66.2194873540165, -64.87787327711895, -361.3987352380923, -58.89203387932857, -55.58575582759126, -80.91598091337949, -527.3602776502773, -64.58004835780734]",5.0,0.0,0.2,200.0,2021-09-14 19:06:49.413583
19,19.0,1.0,71.72416109339702,"[-75.336962052196, -71.94098203358601, -74.46744196069508, -73.30184505617923, -80.01571156039174, -81.5163618848842, -74.55259387347053, -574.5396275230132, -61.480585957352574, -78.37055147182286]",5.0,0.0,0.1,210.0,2021-09-14 19:06:50.227836
20,20.0,1.0,75.42453042728467,"[-531.5685119470073, -70.37912263816797, -74.854638026415, -70.97053360452985, -116.70426383927747, -68.15150310058816, -74.30468636020414, -78.73743674751422, -76.76406732493167, -79.5600104763254]",5.0,0.0,0.1,220.0,2021-09-14 19:06:51.042721
21,21.0,1.0,68.42613814513976,"[-64.8523020610559, -60.39637981854893, -73.11035262067257, -54.97876010974492, -69.65171121376306, -522.0775791956137, -62.4799758761228, -57.34750781721694, -67.08112467354118, -89.28133921403665]",5.0,0.0,0.1,230.0,2021-09-14 19:06:51.860586
22,22.0,1.0,82.20288874868778,"[-62.283865986804315, -70.49360512243891, -67.4083868947801, -67.37553025798482, -58.93814767403061, -108.8662995197917, -76.0063460496567, -563.244462513508, -560.6857604049761, -60.582105409755975]",5.0,0.0,0.2,240.0,2021-09-14 19:06:52.694045
23,23.0,1.0,73.08479551767127,"[-62.361517746284164, -538.0325725841166, -54.12049382843328, -74.5032000518945, -72.76708214680521, -80.42385709355769, -66.66201449544576, -77.97063069695638, -66.49416633514855, -70.85068331890017]",5.0,0.0,0.1,250.0,2021-09-14 19:06:53.508471
24,24.0,1.0,557.5511926372526,"[-555.9284345218578, -71.31360927725903, -540.8275020398402, -553.8428693695325, -65.66797506455019, -74.80640248116659, -63.97020748363372, -78.4121627505404, -46.00513701242932, -51.69722765308474]",5.0,1.0,0.3,260.0,2021-09-14 19:06:54.332571
25,25.0,1.0,69.32427849095787,"[-70.02855096685632, -555.3987371263493, -44.5932944153728, -71.40139058924613, -43.89630006154389, -61.003269849146236, -70.15292639392686, -523.9363478342729, -52.02651945709001, -51.53131080373351]",5.0,0.0,0.2,270.0,2021-09-14 19:06:55.151732
26,26.0,1.0,73.10936242132554,"[-28.73062426107119, -52.467518401346204, -547.1480216338088, -40.629845445940305, -53.76389432516957, -66.32415511362937, -561.0229754754439, -65.96595266736139, -70.49187317329384, -42.448755092914396]",5.0,0.0,0.2,280.0,2021-09-14 19:06:55.969151
27,27.0,1.0,88.94232799980354,"[-66.49612466847499, -58.255464538790356, -54.2016983272426, -86.15775983277928, -65.71747721199613, -51.6814010075036, -78.39068701771598, -56.013124123805916, -566.7407279418552, -60.91630802141813]",5.0,0.0,0.1,290.0,2021-09-14 19:06:56.808257
28,28.0,1.0,581.2422983138085,"[-64.03974885833226, -57.795731783785705, -59.23958559588191, -71.5313895433471, -79.34274104625591, -76.85759923686422, -78.71073112925032, -62.192443925200976, -73.40344499543362, -88.46943615188397]",5.0,1.0,0.0,300.0,2021-09-14 19:06:57.620923
29,29.0,1.0,575.0319135691227,"[-555.6178188310022, -74.51205434929777, -60.148929856830065, -66.51794369770593, -80.6402361946826, -571.5697373368491, -68.67563723298386, -71.51975036875808, -571.0045912997277, -566.6324286085943]",5.0,1.0,0.4,310.0,2021-09-14 19:06:58.444953
30,30.0,1.0,97.01549002090668,"[-79.91744274090844, -80.09382095444963, -69.2985365525456, -70.50191798633968, -533.8410483462563, -547.0100654007111, -94.81704828855896, -528.3400893618723, -108.26256243138988, -589.3698111940139]",5.0,0.0,0.4,320.0,2021-09-14 19:06:59.268387
31,31.0,1.0,82.15770492951293,"[-69.44104543922934, -72.85146385248039, -69.53588928680645, -73.88325002065386, -73.08697361723418, -68.70513378167824, -520.558162850138, -563.0007203015268, -553.8587375418579, -588.1595024951691]",5.0,0.0,0.4,330.0,2021-09-14 19:07:00.097344
32,32.0,1.0,82.43009396881303,"[-526.8119851292375, -51.15057810257493, -592.3259438640686, -520.8583013986001, -583.4394556556009, -81.05124632374749, -68.08368031551518, -77.63071793854026, -65.60818261489058, -70.91073164168375]",5.0,0.0,0.4,340.0,2021-09-14 19:07:00.954399
33,33.0,1.0,71.54856379622234,"[-66.14369255161894, -65.9995518639405, -529.3511487182956, -72.64813305165433, -64.39331687328419, -76.10363301372905, -72.95151544710635, -60.93828658924645, -96.52222547988134, -69.66184287115091]",5.0,0.0,0.1,350.0,2021-09-14 19:07:01.782995
34,34.0,1.0,73.17667991214867,"[-68.372587606928, -596.5501252649179, -74.43208424376901, -77.4861567921761, -584.6777436515036, -62.580441443323636, -62.61319013706933, -92.32664699046066, -113.90692307917624, -87.04510308127166]",5.0,0.0,0.2,360.0,2021-09-14 19:07:02.605690
35,35.0,1.0,76.83586639409411,"[-68.8344320300238, -70.67997369635978, -68.5404179263944, -69.30431969890206, -68.7089038943078, -66.89697550466336, -71.37243679842572, -66.21124837359346, -67.25840020138017, -67.12379032618828]",5.0,0.0,0.0,370.0,2021-09-14 19:07:03.419039
36,36.0,1.0,583.4288411517401,"[-69.51342382674895, -69.93767277075713, -79.76251356912724, -591.4769335854304, -551.0942528078261, -562.9454164015789, -67.54648250549567, -68.64472719591326, -74.75163414910836, -76.94261093206381]",5.0,1.0,0.3,380.0,2021-09-14 19:07:04.245395
37,37.0,1.0,576.9573509893766,"[-85.6245385780359, -78.66309277628811, -68.371548868643, -65.22768010215177, -545.1734340796667, -71.85203682128878, -80.34889462616019, -548.1625644645229, -80.37712176115127, -72.61412937427669]",5.0,1.0,0.2,390.0,2021-09-14 19:07:05.070148
38,38.0,1.0,80.83915911771551,"[-535.218070508509, -65.84989370542807, -72.63062427818059, -71.9085526443529, -78.31703446890641, -72.5474004401101, -67.04281962306032, -71.17834848944284, -55.08491244515526, -77.7583110230477]",5.0,0.0,0.1,400.0,2021-09-14 19:07:05.888645
39,39.0,1.0,584.015882685729,"[-575.6589537517654, -78.31443599969816, -76.92451954044603, -73.43704751038584, -96.83946783715776, -78.92597855972014, -586.9741169218553, -82.590812532133, -69.65000730406027, -69.64879662406999]",5.0,1.0,0.2,410.0,2021-09-14 19:07:06.712482
40,40.0,1.0,86.63338170330499,"[-70.64489572432934, -80.65548723898281, -70.21867210026991, -86.60699975798974, -72.24956543579127, -580.0426404088421, -76.36381494257473, -86.82266009407886, -574.932348808091, -548.6582156840894]",5.0,0.0,0.3,420.0,2021-09-14 19:07:07.538723
41,41.0,1.0,530.81398505628,"[-71.54881403160417, -67.44275875335194, -563.6168587706716, -82.0408888117475, -81.21450951493894, -68.36842479845559, -71.77137656033149, -72.14527722205078, -77.12798356776185, -575.7432822061196]",5.0,1.0,0.2,430.0,2021-09-14 19:07:08.363298
