index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,2.0,93.82402653521056,"[-92.92765992802666, -93.20174902361785, -93.17091439775795, -93.3015543100219, -93.53275475895165, -94.2973555216031, -93.80907551160612, -93.25545478622753, -93.1012113431923, -94.00552602916433]",10.0,0.0,0.0,20.0,2021-09-14 16:42:23.222578
1,1.0,2.0,94.30505506505226,"[-74.4132555134309, -63.71169212378397, -73.92477818661419, -73.34244083192614, -93.87039180672568, -94.61718092926088, -63.36280813751222, -94.07637096345216, -93.47884348913101, -94.35775339156115]",10.0,0.0,0.0,30.0,2021-09-14 16:42:24.037314
2,2.0,2.0,95.67709722887085,"[-96.02015340879784, -94.1741086081367, -94.56091188767962, -94.63316838089902, -64.60700844878819, -84.5799242464581, -93.86471337096522, -74.11741336662091, -95.47196869794335, -94.07609032063642]",10.0,0.0,0.0,40.0,2021-09-14 16:42:24.850237
3,3.0,2.0,96.26274357742734,"[-95.13393232517265, -94.76052369555833, -94.23593010955642, -94.98231568115379, -95.3564985297946, -94.39896703905657, -93.35561896245468, -95.39829053349153, -94.79926584175908, -96.62098093753478]",10.0,0.0,0.0,50.0,2021-09-14 16:42:25.659055
4,4.0,2.0,97.00007794395853,"[-54.46276252939821, -96.0328334981426, -23.988797620091706, -95.0717654016854, -95.4590643679275, -55.454408325651094, -76.3262389315396, -94.99354889558461, -97.08605408618331, -94.93832189071874]",10.0,0.0,0.0,60.0,2021-09-14 16:42:26.470097
5,5.0,2.0,96.90144190472654,"[-99.27311952976642, -96.01844949334807, -94.97118922280141, -96.48254006363284, -24.968767267848428, -94.9662008110928, -95.48756266092242, -95.1886822174028, -95.60825229777514, -95.43777965107212]",10.0,0.0,0.0,70.0,2021-09-14 16:42:27.280770
6,6.0,2.0,99.11543804263148,"[-94.96131059451044, -98.04191530780095, -94.20270809153405, -69.56441544631126, -93.85007966286202, -97.04665856093297, -96.93910876405658, -94.80306454414685, -95.93514886135927, -93.94584693262922]",10.0,0.0,0.0,80.0,2021-09-14 16:42:28.092932
7,7.0,2.0,270.52779580590015,"[-56.68584934290513, -5.438725349812879, -45.33873155419835, -74.47971911883363, -97.29834365863368, -96.81772509855715, -95.20273509225176, -117.60375061114763, -95.09409348477857, -99.20860789652345]",10.0,1.0,0.0,90.0,2021-09-14 16:42:28.966641
8,8.0,2.0,280.6264189693842,"[-99.09245477826289, -99.5506126821763, -97.06635277754492, -99.37262447679994, -97.02826731893403, -275.4779083022471, -89.47030144936969, -40.188461970242784, -99.79845936317652, -78.56274971698365]",10.0,1.0,0.1,100.0,2021-09-14 16:42:29.786822
9,9.0,2.0,100.2958695086713,"[-97.11969184694644, -99.31639847598149, -100.40423890097291, -89.2250322776975, -96.18404186538719, -94.37814902127002, -68.19182830339085, -95.06934597274976, -94.47557787240235, -96.39745065438191]",10.0,0.0,0.0,110.0,2021-09-14 16:42:30.606674
