index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,3.0,1.1516633007357413,"[-1.0911811698216805, -1.1635393373454959, -1.101292908015093, -1.2311846392217802, -1.2007110816169, -1.1215741582774057, 98.92956887783438, -1.1863263716536074, -1.0860398089135865, -1.1614091880049244]",15.0,0.0,0.0,20.0,2021-09-14 20:19:28.901429
1,1.0,3.0,1.3274259339613026,"[-1.1300177701274365, -1.4693309806290227, -1.2512827421791455, -1.1489905727502452, -1.2425335209041988, -1.1895534519947315, -1.2363566670968, -1.1482752819289106, -1.1991245234833465, -1.1725422991294399]",15.0,0.0,0.0,30.0,2021-09-14 20:19:29.734114
2,2.0,3.0,1.4659682332715331,"[-1.3921450072080985, -1.2413044718729722, -1.2890306535938965, -1.4419076046128834, -1.3530303786747553, -1.3715674194550642, -1.545913810889653, -1.2781732956624257, -1.2823786064433595, -1.407901457690609]",15.0,0.0,0.0,40.0,2021-09-14 20:19:30.570422
3,3.0,3.0,1.7210987015208856,"[-1.5092302753434566, -1.4429359950671474, 98.56149181623196, -1.660760793013034, -1.6630796073747178, -1.1298162389188464, -1.7837865503122727, -1.268733808687188, -1.7040136269130692, -1.2217918187187895]",15.0,0.0,0.0,50.0,2021-09-14 20:19:31.389664
4,4.0,3.0,1.9122995127788114,"[-1.6876620401016054, -1.3059580526380905, -1.9259439244039884, -1.8118666277984161, -1.387059552141705, -1.7646387910666863, -1.6233441399585073, -1.8803218552870367, -1.7917423921876658, -1.5370123527611896]",15.0,0.0,0.0,60.0,2021-09-14 20:19:32.203801
5,5.0,3.0,3.3064745812448595,"[-1.6134855530543697, -4.869726414953722, -1.801202667656998, -1.9764867837456703, -1.8505959953652777, -1.761890693265211, -1.6748784455775445, -1.6045885551287549, 97.71905609753128, -1.502730621168064]",15.0,0.0,0.0,70.0,2021-09-14 20:19:33.016636
6,6.0,3.0,5.362792533582798,"[-4.212443208245748, -4.951821960063884, 98.6988163322861, -1.2950995961612668, -2.1716150526023017, -1.8559200689580928, -2.807549188988928, -5.485036187159277, -5.436922778975329, -1.9294864408678742]",15.0,0.0,0.0,80.0,2021-09-14 20:19:33.825322
7,7.0,3.0,7.066655846136381,"[-3.9852164339767007, -7.411377233708327, -3.920184701255935, -7.820118331416386, -1.683286746501734, -3.298174934345539, -2.170989183763901, -1.3909608596093024, -3.789657967116508, 96.97605650883494]",15.0,0.0,0.0,90.0,2021-09-14 20:19:34.633931
8,8.0,3.0,6.043511825154593,"[-2.8472986756791556, -4.835811823141011, -4.050825700877393, -3.055540855373132, -2.5636246295612044, -3.767904735473228, -6.57833208264058, -5.642565962699743, 96.44336417339008, -3.4862260071011715]",15.0,0.0,0.0,100.0,2021-09-14 20:19:35.444455
9,9.0,3.0,7.213211146239374,"[-14.805204315709085, -2.3963507035625957, -2.797787507857804, -1.469575095568915, -5.492637761286639, -4.61270745382132, -2.168238716647236, -4.658463826167256, -4.372471447836899, -4.827943134074222]",15.0,0.0,0.1,110.0,2021-09-14 20:19:36.311031
10,10.0,3.0,7.680482178231706,"[-2.224924359641603, 95.9500697580209, -3.382887288148622, -3.4313448188044107, -2.087402257339787, -2.064736167477258, -7.794441465902185, -2.606454002520312, -6.005706112235346, -5.290768727627784]",15.0,0.0,0.0,120.0,2021-09-14 20:19:37.129326
11,11.0,3.0,8.018788128603678,"[-2.1167401752111843, -7.738167279659942, -2.2802989531412843, 93.94415131168266, -7.607181614745201, -3.5278767698132567, -5.601467332047638, -4.028597529959354, -7.929754729177746, -5.621172397578179]",15.0,0.0,0.0,130.0,2021-09-14 20:19:37.938329
12,12.0,3.0,7.322927026310768,"[-7.977910348262149, -2.48387547701806, -14.805793564128596, -4.2158179175187795, -4.374285216481372, 94.6924368163464, -4.31947255745049, -6.257761949206852, -14.621119118919804, -7.723779105002711]",15.0,0.0,0.2,140.0,2021-09-14 20:19:38.750751
13,13.0,3.0,14.907027727714409,"[-5.8625229373607874, -14.837122088434231, -5.359446819676553, -7.660076537265705, -14.974340616075718, -7.73869640543496, -7.486135511237618, -7.4427328449849774, -3.354800929761167, -15.811500242448599]",15.0,1.0,0.3,150.0,2021-09-14 20:19:39.575635
14,14.0,3.0,4.95784447892759,"[-8.06583461533604, -4.16361600443598, -4.823443447181846, -7.807082505778732, -1.608337069964153, -3.082744485774324, -14.966521010812535, -7.812082932275516, -6.557825419983561, -3.3126249323091392]",15.0,0.0,0.1,160.0,2021-09-14 20:19:40.389715
15,15.0,3.0,14.974918226162815,"[-7.021364450126252, -16.147825747400805, -7.903161263449181, -7.8320911650798575, -7.770920741872176, -14.750811124851632, 96.84641001430779, -6.550883409197121, -5.178292762829292, -7.661424723643705]",15.0,1.0,0.2,170.0,2021-09-14 20:19:41.211074
