index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,4.0,1.1035169550874795,"[98.63409856755277, -1.1972477373064943, 98.59297004016629, 98.46468108461696, -1.1744806927861893, -1.2940123272713562, 98.5827711803361, -1.1364215591690503, 98.36036570764891, -1.1998060299096889]",20.0,0.0,0.0,20.0,2021-09-14 20:02:10.170415
1,1.0,4.0,1.3181324404755559,"[-1.1673455786749987, -1.0877942481948502, -1.1003048141456166, -1.267011885978443, -1.114612181578806, -1.2514712852646892, -1.154765454210163, -1.1998491177318549, -1.1876915951420224, -1.3105573244456772]",20.0,0.0,0.0,30.0,2021-09-14 20:02:10.973535
2,2.0,4.0,1.4485372910265837,"[-1.2414976647098015, -1.3384190370152884, -1.138871824838687, -1.129827198724036, 98.62186852412691, -1.1785141298755846, -1.5496741637363662, -1.3714540369301218, -1.2796079355334964, -1.3935405535512517]",20.0,0.0,0.0,40.0,2021-09-14 20:02:11.778969
3,3.0,4.0,1.4810354774438028,"[-1.3671977122602026, -1.3859620220906084, -1.3768228966630902, -1.2238333294615404, -1.344661883512619, -1.2140186747921868, -1.237749238723189, -1.344820012870143, -1.5745516797337384, -1.4109580965163744]",20.0,0.0,0.0,50.0,2021-09-14 20:02:12.586168
4,4.0,4.0,1.636314905889991,"[-1.2441433765198198, -1.384452230422867, -1.2756095370162457, -1.3645234624516083, -1.2824387735549343, -1.2215579602438744, -1.568511771796676, -1.5604337579195178, -1.2668469001388665, -1.546956202179072]",20.0,0.0,0.0,60.0,2021-09-14 20:02:13.390253
5,5.0,4.0,1.9328853654747458,"[98.6468953807313, 98.65280751921816, 98.5367621954032, -1.9874779760532282, 98.64938171995408, -1.6974140952384642, -1.4651171055595604, -1.3379112162676254, -1.3735162352647463, -1.4287570281622544]",20.0,0.0,0.0,70.0,2021-09-14 20:02:14.201501
6,6.0,4.0,2.3814753071700014,"[-1.4890989134310209, -1.3673789178735558, -3.435811965376566, -1.8514725495234514, -1.55577091485388, -1.313537656395409, -1.7741024915680919, 98.63721922564632, -1.3257940623018958, -1.5932659209663336]",20.0,0.0,0.0,80.0,2021-09-14 20:02:15.001612
7,7.0,4.0,3.242776848056621,"[97.6076631990434, -1.8271682547877586, -3.6081069955292855, -1.8403561138697144, -1.5740456995195664, -2.1088140680481007, -1.8394644575292334, -2.105002130426316, -4.2245977145094855, -1.1954455157012283]",20.0,0.0,0.0,90.0,2021-09-14 20:02:15.807821
8,8.0,4.0,4.7615208093105235,"[-3.3913700413125833, -1.5169793819776474, -1.5627770160469865, -1.5493659659787917, -1.3100191396562089, 98.45878489224197, -1.7283144363638523, 98.84620563572057, -1.8908665251327188, -14.679264218276186]",20.0,0.0,0.1,100.0,2021-09-14 20:02:16.620543
9,9.0,4.0,3.876662310078941,"[95.91436693352314, -2.368161583402973, 95.7524521712456, 98.63711208175299, 98.63166977273212, -2.3487854382912077, -1.3843583329104021, -6.297667381462271, 98.64875158303528, -4.724336812546287]",20.0,0.0,0.0,110.0,2021-09-14 20:02:17.430475
10,10.0,4.0,5.586008766105817,"[96.21262701781338, -1.538533301544487, -3.81620688290298, -1.8603377516059223, -1.7595852373451415, -1.4290547078941631, -1.6512941764787221, -2.3241661037207337, -4.614560954026313, -1.5066155706038458]",20.0,0.0,0.0,120.0,2021-09-14 20:02:18.233061
11,11.0,4.0,4.611358602682191,"[-3.5011307457222665, -2.3168162400441816, -3.4814386011136413, 94.66966604060698, -5.224888575114041, -1.5744901358955874, 92.34149493715951, -4.3058093498640275, -3.200503609101572, 98.28825019664312]",20.0,0.0,0.0,130.0,2021-09-14 20:02:19.046516
12,12.0,4.0,6.957547804178984,"[-1.5818262538558585, -2.610581285329497, -3.498422613516485, -3.6738740940914933, 92.34186994976638, 96.07567320973881, -2.212618811436302, 98.15683231218937, -1.5519788736523623, -3.1362924521120368]",20.0,0.0,0.0,140.0,2021-09-14 20:02:19.854560
13,13.0,4.0,14.631644238006299,"[-7.54089214436825, -5.386197132137905, -2.5014347461176634, -7.037076735911205, 98.5702539587259, -3.634101075088103, -4.4533782890244735, -2.94709962336174, -14.90544485006555, -3.723420752219807]",20.0,1.0,0.1,150.0,2021-09-14 20:02:20.670024
14,14.0,4.0,5.886185067586256,"[-1.9421943201449552, -7.021096956707567, -5.497739605566543, -3.214721115130847, -4.6480136073195855, -1.8044848545057288, -2.128401693854868, -4.198065788090431, -2.3430626617649604, 95.95923701604947]",20.0,0.0,0.0,160.0,2021-09-14 20:02:21.477406
15,15.0,4.0,3.2539621795639793,"[-14.440822017161441, -5.74999940266828, -5.038290918539876, -5.519929149589747, -2.4982031709918027, -3.612282959154601, 96.26384215204466, -5.285174244971579, -5.018919894582492, -3.2259617395981235]",20.0,0.0,0.1,170.0,2021-09-14 20:02:22.288472
16,16.0,4.0,3.224321672498941,"[-3.957728279137031, -3.188800528448135, -14.670827288601766, -4.2196963263531275, -3.126882399753315, -14.73529357770082, -7.7836516597987595, -5.278888032401462, -4.914628753258334, 96.94535151351391]",20.0,0.0,0.2,180.0,2021-09-14 20:02:23.103115
17,17.0,4.0,4.6297163167684285,"[-7.680129321384457, -3.457328326184849, -1.7890572130974733, -3.180598221240944, 94.36798692337749, -4.190914750958681, -14.68429618379663, -6.067481633480424, 92.9787956987377, -7.785899872722939]",20.0,0.0,0.1,190.0,2021-09-14 20:02:23.924723
18,18.0,4.0,4.316203313832993,"[-14.749764271013344, -6.937360159835536, -5.39390096443854, -4.181688963541884, -1.847356790261929, -3.2253078622420173, -14.923484633202671, -7.911605079433131, -7.549740658969356, -4.179763590122723]",20.0,0.0,0.2,200.0,2021-09-14 20:02:24.738634
19,19.0,4.0,14.749347388198785,"[-5.223688282960104, -1.6476885367904028, -6.3715329684715, 98.6200948360976, -2.6488085124691203, -1.3958786607883449, -2.9756143001688455, -1.427321461695062, -6.892130606796934, -5.892197260780571]",20.0,1.0,0.0,210.0,2021-09-14 20:02:25.548993
20,20.0,4.0,4.851508962532002,"[98.49185208439518, -1.6177637938369087, -4.351549404315765, 92.71637938371602, -4.996409916124869, -6.136506027152879, -6.2757176093891145, -2.8890322092728327, -4.257844451310798, -5.216423071103081]",20.0,0.0,0.0,220.0,2021-09-14 20:02:26.359226
21,21.0,4.0,5.924669945897743,"[-4.855615863723108, -14.70955522915434, -2.408911928941009, -3.6589689922180484, -7.426564846420267, -2.258174403707827, 98.52405285545497, -7.650358213954918, -5.201334131028458, -3.959627325806875]",20.0,0.0,0.1,230.0,2021-09-14 20:02:27.176133
22,22.0,4.0,7.023335960136302,"[96.67051194844417, -3.3437829540401336, -3.832871062132106, -4.021184870636548, -3.371343210471468, -6.7168941464087, -7.261051455464768, -6.940136577480988, 98.07769649152083, -2.039560826099432]",20.0,0.0,0.0,240.0,2021-09-14 20:02:27.982377
23,23.0,4.0,7.576200219143154,"[95.57460103123066, -4.0700922844868455, -1.7960123601790563, -7.537003872367396, -6.73167440805552, 97.9615374770217, 94.91635758551863, -1.8857427385910668, -1.5414852067973916, -1.41918842640618]",20.0,0.0,0.0,250.0,2021-09-14 20:02:28.793946
24,24.0,4.0,7.39987914814362,"[-6.793839744221627, -2.610758242295011, -14.896366393138186, -4.278913940461081, -3.5988490853822923, -1.6892723575434623, -2.672652033411654, -3.46043894242137, -3.247244926626801, -6.516685896259661]",20.0,0.0,0.1,260.0,2021-09-14 20:02:29.605952
25,25.0,4.0,7.991442720230729,"[-14.544221097692192, -5.7331031813537825, -3.274713814819175, -2.492996354565929, -7.669744206594686, -4.496205801631113, -1.6063277585619202, -3.9650275473295364, -3.1483137524826885, -15.566462119097594]",20.0,0.0,0.2,270.0,2021-09-14 20:02:30.420411
26,26.0,4.0,15.487340777860833,"[-5.619969809072707, -1.842082030506134, -7.48031573779412, -1.861813311996706, -7.422760651957192, -4.595093513957948, -2.577849962281299, -6.71107920810046, -2.164680322132744, -14.753242771284668]",20.0,1.0,0.1,280.0,2021-09-14 20:02:31.232169
