index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,1.0,92.95594390025363,"[-93.38041590200424, -93.05370212804124, -93.33710179206031, -92.78078489805416, -92.81780149033168, -92.79590287579664, -92.95739477174996, -93.37926814854443, -92.8066927725797, -92.86036293056583]",5.0,0.0,0.0,20.0,2021-09-14 16:16:46.629619
1,1.0,1.0,93.14426637455614,"[-92.74863397144972, -92.73334046549574, -92.9288017191611, -93.30710082242763, -93.06049267825493, -93.26219435952133, -93.41199162102089, -93.22489587671215, -93.06041298289466, -93.0175927379162]",5.0,0.0,0.0,30.0,2021-09-14 16:16:47.464162
2,2.0,1.0,93.79662307896326,"[-93.33467335289218, -93.56843514007916, -93.52807214437485, -93.39074686967129, -93.86155863063182, -93.48977270190296, -93.11466761117127, -93.32500621791729, -93.53552079689494, -93.0449639337904]",5.0,0.0,0.0,40.0,2021-09-14 16:16:48.271516
3,3.0,1.0,94.36509394349952,"[-93.46956075500674, -93.57701869438112, -94.04617619776754, -94.0344732400776, -94.1702283769557, -93.69192639953965, -94.15636497223119, -94.40315530530302, -93.89885303013394, -94.09133646299011]",5.0,0.0,0.0,50.0,2021-09-14 16:16:49.081379
4,4.0,1.0,94.71955792451395,"[-94.38086558665573, -93.367721746578, -93.74858383689863, -94.63534263808637, -93.7085516955919, -93.97619030283859, -94.56996594054218, -93.71717134829191, -93.50575120984476, -93.94168169096419]",5.0,0.0,0.0,60.0,2021-09-14 16:16:49.883796
5,5.0,1.0,95.08696881651025,"[-94.30905868574331, -94.83305548983188, -94.26860877861166, -93.77227691190942, -94.64233407545544, -93.39582155605002, -94.49534985620609, -94.28259929087606, -93.94433909897458, -93.52097841365259]",5.0,0.0,0.0,70.0,2021-09-14 16:16:50.688723
6,6.0,1.0,95.29667241432246,"[-94.94621694848094, -94.1192913058328, -94.99692823870059, -94.35859271728347, -94.49622569147759, -95.14208602115909, -94.60213234116011, -94.3183306388273, -94.96465077928755, -95.25231716747817]",5.0,0.0,0.0,80.0,2021-09-14 16:16:51.497762
7,7.0,1.0,95.55531392929083,"[-95.18964365373165, -93.98790333032345, -95.06487221603744, -94.49303294038585, -94.72997032480235, -95.03758006507503, -93.9864966927577, -95.50741656444806, -94.31744728247861, -93.94105371965566]",5.0,0.0,0.0,90.0,2021-09-14 16:16:52.307580
8,8.0,1.0,95.54809981607698,"[241.11729077887003, -94.61202633042102, -94.49304059243303, 156.33630060424204, -95.47672593746789, 243.6552506866336, -94.55542508004446, -95.70675328877309, -84.30908335241911, -94.64306733304682]",5.0,0.0,0.0,100.0,2021-09-14 16:16:53.125049
9,9.0,1.0,95.85551390138795,"[-95.2043850877923, -94.84459215189598, -93.8546385212813, -94.69977772199145, -94.83259997153107, -96.0554885256615, -95.3020812230095, -94.88624117253127, -94.16582323483057, 248.45650179619784]",5.0,0.0,0.0,110.0,2021-09-14 16:16:53.936456
10,10.0,1.0,95.89061353314588,"[176.5907910643019, -95.60853688595654, -95.48632358473134, -95.20872639133623, -95.28680160352255, -96.23538457443756, -94.9254727017008, -94.83648758453067, -95.17189236308005, -73.74693610877301]",5.0,0.0,0.0,120.0,2021-09-14 16:16:54.799146
11,11.0,1.0,95.96382381226688,"[-94.21439903762987, -94.86957517451212, -95.80834540862058, -95.96529167482294, -94.47692088294946, -95.28337625273929, -96.02133838657912, -94.34419462636345, -95.15267354406431, -96.420672210081]",5.0,0.0,0.0,130.0,2021-09-14 16:16:55.643590
12,12.0,1.0,95.92232213593351,"[-95.09719128548674, -88.02817102587548, -93.87527068843593, -95.59726780069089, -95.9721623509464, -95.48498284736704, -96.25748753340649, -44.3691486196666, -94.72820235263745, -94.25120569380853]",5.0,0.0,0.0,140.0,2021-09-14 16:16:56.444309
13,13.0,1.0,96.50374121558572,"[-97.26813792184306, -85.84468207210244, -95.2709707882529, -97.42732059578749, -65.62001473312884, -94.3577980888803, -94.32630593644137, -94.3409045886796, -96.81322833990714, -96.14803043380572]",5.0,0.0,0.0,150.0,2021-09-14 16:16:57.245567
14,14.0,1.0,94.10731484327056,"[-86.46074040021348, -96.16578857037634, -96.02250187237206, -93.13641944355463, -96.0000308474039, -95.59547333220168, -98.58049660869436, -94.7768386528026, 262.8965106528361, -94.91283110710215]",5.0,0.0,0.0,160.0,2021-09-14 16:16:58.045488
15,15.0,1.0,94.91370500264053,"[-95.92424029084883, -93.88399766810197, -86.97671807136253, -93.92084740195935, -99.20791872182352, -95.67365114301926, -95.17553293638086, -94.98762698375165, -93.76898547123902, -94.93367283153394]",5.0,0.0,0.0,170.0,2021-09-14 16:16:58.871144
16,16.0,1.0,100.28224960299411,"[-93.96706400439425, -93.74962936188017, -96.61697822044331, -99.5611063720598, -92.91342901780149, -97.49562541482557, -94.20202103492556, -94.87199242993935, -96.53718785404422, 243.4637882557946]",5.0,0.0,0.0,180.0,2021-09-14 16:16:59.689991
17,17.0,1.0,346.3261856965193,"[-96.79324521824994, -75.36065520809278, -95.79094781319459, -96.26039975407694, -75.19541752060427, -100.40978084160844, -96.54699235303798, -93.8700192049214, -98.81929843108422, -94.64672225261353]",5.0,1.0,0.0,190.0,2021-09-14 16:17:00.501032
18,18.0,1.0,99.47375026805223,"[-95.33207872102855, -85.33131931460292, -94.56447521154155, -74.1755689490413, -100.48526352264771, -93.24725752664978, -96.07456572448841, -94.63259406128097, -84.07279246115044, -97.02028462622843]",5.0,0.0,0.0,200.0,2021-09-14 16:17:01.317026
