index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,4.0,92.9230833153987,"[-93.40823071900371, -92.96993293458115, -93.17013675744624, -93.24230749543149, -62.846268928523365, -92.813512882037, -92.93409992003777, -92.88429798421367, -92.76857912021639, -92.89402192482166]",20.0,0.0,0.0,20.0,2021-09-14 16:50:58.992001
1,1.0,4.0,93.3231081619753,"[-93.53896394479956, -92.7960434769935, -92.93101897271907, -92.77033794623344, -93.17215679607293, -92.87844145196992, -92.97186164839749, -93.152730615946, -92.88389693056729, -93.39530324591937]",20.0,0.0,0.0,30.0,2021-09-14 16:50:59.797614
2,2.0,4.0,94.39373392974491,"[-93.16154116890708, -93.9680390470681, -93.6412442824013, -92.78608322727533, -93.59432430143465, -93.07452604839895, -94.48728396409601, -94.66041173157502, -93.26476275374743, -92.9962475325883]",20.0,0.0,0.0,40.0,2021-09-14 16:51:00.604825
3,3.0,4.0,95.36928878290877,"[-93.67588973800842, -95.59262194293777, -92.72423925244662, -94.16842775806697, -93.60631358527723, -93.5254459768299, -94.39309788841499, -94.86695120676654, -94.30799575602339, -93.89803978632412]",20.0,0.0,0.0,50.0,2021-09-14 16:51:01.412649
4,4.0,4.0,96.01368649346337,"[-95.72057209889047, -95.15859467794643, -96.07619959257981, -94.31193773806612, -95.51479967703443, -94.53379781058617, -94.99031163418232, -94.13275205984243, -95.20055923241257, -94.84376017747442]",20.0,0.0,0.0,60.0,2021-09-14 16:51:02.251158
5,5.0,4.0,96.70681116862261,"[-95.06605928964983, -95.41781683678785, -95.12358376652861, -100.38057004263307, -95.4604051127579, -93.56395834508564, -94.07522732386059, -96.5311668548765, -96.4287356721823, -96.04860321020713]",20.0,0.0,0.0,70.0,2021-09-14 16:51:03.063455
6,6.0,4.0,99.5772971224056,"[-95.60386575058804, -101.10582242497021, -95.3469912501228, -96.48051148817402, -95.64964876646786, -66.0123783436795, -95.60661787518787, -96.84507008016013, -96.65157170147462, -95.75980155098898]",20.0,0.0,0.0,80.0,2021-09-14 16:51:03.869860
7,7.0,4.0,300.29995308236556,"[-99.7688911259513, -96.92596232571859, -96.21581851190817, -101.01937110916721, -95.7531015849875, -97.45662321722911, -95.97369002881969, -196.8291858566856, -96.71095765336243, -97.19786023673403]",20.0,1.0,0.1,90.0,2021-09-14 16:51:04.683092
8,8.0,4.0,99.34004423767816,"[-97.2456096477746, -95.81132956016049, -100.87946920184692, -79.23436325991298, -100.56619384141717, -99.47263952209474, -101.10977079094484, -96.85962641135889, -99.55335612960562, -86.18019862705414]",20.0,0.0,0.0,100.0,2021-09-14 16:51:05.487269
9,9.0,4.0,99.32613054416065,"[-95.61762682762544, -98.72142777848137, -78.95748764191359, -96.56960797766568, -99.76471887320109, -95.32663995005142, -97.8605000863632, -66.63629756083927, -99.94088128869173, -96.55543861794993]",20.0,0.0,0.0,110.0,2021-09-14 16:51:06.297664
10,10.0,4.0,100.11285442203646,"[-89.29200309093274, -92.75936803630798, -85.27844888285188, -99.94443218366055, -95.2699806705458, -97.01754106737636, -97.61108830520965, -105.85254333605283, -99.4292470328292, -100.22159218559723]",20.0,0.0,0.0,120.0,2021-09-14 16:51:07.106521
11,11.0,4.0,99.67117149791608,"[-100.39472747806767, -95.62638886448764, -95.7665419207433, -96.39031422110739, -92.30223354272712, -97.18886654397652, -99.14845669716016, -99.08124427542795, -45.07078933509289, -99.49387288838842]",20.0,0.0,0.0,130.0,2021-09-14 16:51:07.912352
12,12.0,4.0,99.62108358737105,"[-293.4651237728709, 183.77299329074816, -95.11024627779422, -99.71200233636011, -98.60947444865418, -99.85072280513344, 168.38214985283963, -293.5036799553716, -99.75698381266714, 182.48655223351543]",20.0,0.0,0.2,140.0,2021-09-14 16:51:08.727589
13,13.0,4.0,294.10375315028114,"[-95.08861413999502, -102.72244099023455, -100.09304175005106, -100.09932071458508, -298.6502752862028, -97.67977645918221, -97.33881376382644, 179.61575660535317, -96.33168340690447, -96.36154465557618]",20.0,1.0,0.1,150.0,2021-09-14 16:51:09.545073
14,14.0,4.0,294.00002684988516,"[-100.50120322498613, -142.52175913376348, -96.53494921654082, -95.8744999982865, -99.39223904690384, -36.49799878252932, -99.931629683706, -144.0825024687614, 171.72161278742675, -293.40036872574603]",20.0,1.0,0.1,160.0,2021-09-14 16:51:10.368808
15,15.0,4.0,298.9914898601182,"[-294.1757705295133, -292.88506248757636, -97.22760749552188, -95.81108727440157, -97.57789164941025, -97.53448116792116, -96.34713146812135, -101.52290730372287, -99.63557388550407, -101.22913820087913]",20.0,1.0,0.2,170.0,2021-09-14 16:51:11.190512
16,16.0,4.0,100.68866373423442,"[-100.80754505682592, -95.95603130235143, -98.74667081714533, -107.04367153370977, -96.53387530446136, -99.81791927125728, -100.20356324961107, -263.50585451495203, -111.81791166874115, -96.89215466476253]",20.0,0.0,0.1,180.0,2021-09-14 16:51:12.000393
17,17.0,4.0,102.02933946010346,"[-95.57931364415187, -100.55108718656419, -144.15728704949024, -85.79619013097947, -116.19345517245551, -99.80043737268413, -100.73591379334684, -277.5196655663169, -94.25003644124536, -99.71449383852375]",20.0,0.0,0.1,190.0,2021-09-14 16:51:12.810205
18,18.0,4.0,101.81295448864425,"[-97.53223363020359, -57.275584297521675, -99.98702650480256, -98.93195844672093, -291.82622163662637, -100.17519711911127, -100.73807255375108, -100.4584607899365, -140.1397513466908, -287.3306148162066]",20.0,0.0,0.2,200.0,2021-09-14 16:51:13.627979
19,19.0,4.0,281.8595044588884,"[-138.28015319709382, -99.97867579071689, -124.8887461250673, -100.61269611924695, -100.52087250773468, -94.68819874438941, -99.7386210528559, -100.81423076541465, -95.70322112312454, -286.45077154050796]",20.0,1.0,0.1,210.0,2021-09-14 16:51:14.446989
20,20.0,4.0,287.8647953689093,"[-95.56774583189933, -100.46515535162293, -100.49686787564197, -94.52614293875962, -103.11309171009746, -100.34644121984451, -98.39812389832466, -99.81067707981158, -100.01690789832537, -94.84489999545238]",20.0,1.0,0.0,220.0,2021-09-14 16:51:15.262111
21,21.0,4.0,292.9947066755943,"[-100.837373380038, -100.3840630630134, -100.42362364889112, -101.77980028507562, -97.54760031649965, -256.5676602539578, -100.01642673322442, -98.94743784023473, -287.4744603726046, -99.39407674908186]",20.0,1.0,0.2,230.0,2021-09-14 16:51:16.082212
22,22.0,4.0,101.30956358780477,"[-99.9551888061017, -100.16273871309387, -99.81753651325403, -103.48285186758646, -74.27331372983318, -99.67199598411777, -99.88149103083757, -288.2749613449085, -96.36697743741536, -102.15216636397565]",20.0,0.0,0.1,240.0,2021-09-14 16:51:16.891370
23,23.0,4.0,225.5850095860148,"[-100.73670372546712, -94.46012996104889, -100.53488033645782, -98.32450454486948, -287.069183900674, -117.53352278757164, -96.73432830170518, -97.72976598748727, -100.54908534972854, -101.11662900844465]",20.0,1.0,0.1,250.0,2021-09-14 16:51:17.708377
24,24.0,4.0,111.33236707825289,"[-103.16217788077073, -100.60186175488768, -100.15667874066213, -102.29141746883315, -145.5179791653555, -109.10135766383678, -142.12076641531164, -103.02913777436797, -102.68862406795171, -100.12253620579507]",20.0,0.0,0.1,260.0,2021-09-14 16:51:18.526673
25,25.0,4.0,99.46874106638933,"[-100.45116619299918, -99.43644250201734, -119.80204344049974, -99.32256415813194, -98.221722508509, -99.59762171772708, -101.31852585156884, -286.8850536325702, -286.57068966214473, -96.14142062160809]",20.0,0.0,0.2,270.0,2021-09-14 16:51:19.348325
26,26.0,4.0,140.85900413289792,"[-99.96238846251353, -95.51960908401584, -99.73340498118624, -138.81143041985104, -98.7997054232592, -99.85194122963507, -99.43761499492273, -111.1988106648392, -99.52060204358555, -272.58551487271484]",20.0,0.0,0.1,280.0,2021-09-14 16:51:20.169998
27,27.0,4.0,100.3065508990958,"[-104.99867862802522, -286.9656393171931, -99.58352774515471, -99.53858867801742, -100.39638210916198, -101.44889098357076, -286.9146307213086, -286.4562583420303, -287.92694809030866, -103.26312348923118]",20.0,0.0,0.4,290.0,2021-09-14 16:51:20.993736
28,28.0,4.0,282.58052868051,"[-287.2168837749759, -267.23481881464136, -98.81969005731527, -85.47386676725014, -143.49799407077478, -100.52712330171232, -292.64420825223885, -100.02171539668247, -139.03729581542896, -100.20762589390925]",20.0,1.0,0.3,300.0,2021-09-14 16:51:21.818856
29,29.0,4.0,287.3431830158389,"[-100.845279060584, -292.7877663154387, -100.52471814613779, -100.78768477076424, -122.11535198663358, -99.02167649235754, -214.40649154161449, -99.36027054075072, -97.95539149360566, -232.02195737016328]",20.0,1.0,0.3,310.0,2021-09-14 16:51:22.639353
30,30.0,4.0,100.32332885105926,"[-98.75166535429507, -96.94523566134761, -272.19464420668595, 182.0420032077125, -281.9159138901829, -292.78758050278674, -102.76860445213097, -97.11674427136565, -103.53293590660223, 173.82105349006034]",20.0,0.0,0.3,320.0,2021-09-14 16:51:23.464578
31,31.0,4.0,111.10602399134714,"[-286.7636718098267, -96.379151865833, -85.57895481637577, -100.72385049800864, -293.09100551757797, -99.31740264185639, -99.03725432781802, 169.22901354033036, -98.4868303070118, -100.9702685930574]",20.0,0.0,0.2,330.0,2021-09-14 16:51:24.286475
