index,iter,rep,reward,reward_samples,seed,success_rate,success_rate_full,total_samples,ts
0,0.0,4.0,1.217630641426936,"[-1.0669562652260929, -1.1697924274364067, -1.1476826614265732, -1.1940613377517526, -1.1889059836563307, 98.90698047570612, -1.0896720487100382, -1.155158197268873, -1.2805668337904912, -1.1272516041665344]",20.0,0.0,0.0,20.0,2021-09-14 20:23:47.251241
1,1.0,4.0,1.39640550502236,"[98.92698225805701, 98.73343110195562, -1.1362636080681074, -1.2216527984228411, -1.3331969898787857, -1.2663658400814004, -1.2948007902400402, -1.39019466197112, -1.4238414179342618, -1.20957995618196]",20.0,0.0,0.0,30.0,2021-09-14 20:23:48.058564
2,2.0,4.0,1.6200509549122557,"[-1.1788224430053393, -1.5900033397671296, -1.5605323338437378, -1.2900875853239213, -1.2634440133669378, -1.3189011817022251, -1.6332868012570902, -1.2156644182161, -1.247855754378987, -1.646783946185553]",20.0,0.0,0.0,40.0,2021-09-14 20:23:48.871502
3,3.0,4.0,1.6085264733963085,"[-1.4413907999784108, -1.2841131961118057, -1.5045683910509147, 98.50658133487606, -1.5056950240664388, -1.478244123272564, -1.437221727104615, -1.4511209676397685, -1.4660098752996809, -1.509735240400437]",20.0,0.0,0.0,50.0,2021-09-14 20:23:49.684239
4,4.0,4.0,3.650002938938054,"[-2.2136507061727957, -1.4024908521602641, -1.3486826550875728, -1.8815370218561194, -1.6415724411096198, -1.7537552725025551, -2.9676276154228938, -1.275744150844069, -2.839723709941203, -1.5030856442031924]",20.0,0.0,0.0,60.0,2021-09-14 20:23:50.534387
5,5.0,4.0,7.080804820559725,"[-1.8448140951051655, -14.872710796435578, -3.1511073274842487, -1.66541921971896, -7.5288599243546, -1.902779355034175, -1.9254412768161717, -1.910060129461426, -2.1506850209025066, -6.1192963253546235]",20.0,0.0,0.1,70.0,2021-09-14 20:23:51.397633
6,6.0,4.0,14.82065352053382,"[-4.577846916552211, -1.3052053201400113, -2.4446705441181558, -2.9960852656097363, -2.158876879107791, -4.889805859655866, -3.2242836801768218, -6.6458382065287465, -2.459436197355646, -5.480641958260616]",20.0,1.0,0.0,80.0,2021-09-14 20:23:52.260709
7,7.0,4.0,8.187687886256619,"[98.33095204118231, 95.07336101964388, -1.812845669506667, -7.756464479655572, -3.570758356294842, -5.0153680082778065, 95.87057351365449, -6.376144351767075, -5.701441224028593, 98.52977729047156]",20.0,0.0,0.0,90.0,2021-09-14 20:23:53.113867
8,8.0,4.0,7.157673926146008,"[-7.52121800722954, -2.511739171092989, 96.61399065937287, -7.5134636331328135, 97.47280264541673, -2.273082916691258, -7.851121298760791, -3.111630123758097, -3.63890338988229, -14.682522468623073]",20.0,0.0,0.1,100.0,2021-09-14 20:23:53.932436
9,9.0,4.0,15.581980502068816,"[98.3035409992215, -4.680987020869004, 97.67830558679086, 97.08085706599869, -3.061107861646225, -7.712127692185361, 96.38046782272464, -6.2226662483307615, 96.84959598155905, 98.15926714747282]",20.0,1.0,0.0,110.0,2021-09-14 20:23:54.748553
10,10.0,4.0,3.602340282079199,"[-2.021946368658762, -2.2950269162169503, -1.7574895146653338, -4.1067324721460485, -2.883774690560852, -1.236674373601979, -5.729254255963624, 96.03336344922738, -3.3524835342731603, -5.108718627033604]",20.0,0.0,0.0,120.0,2021-09-14 20:23:55.562536
11,11.0,4.0,14.77776764832997,"[-3.6671290421206417, 95.01949837393632, -7.377973196048744, 93.66688095423474, -14.922829604370405, -3.48474301356026, 93.94497260366134, -6.328753096745983, -8.20974975126622, -2.548379220178089]",20.0,1.0,0.1,130.0,2021-09-14 20:23:56.386484
12,12.0,4.0,7.502259557665727,"[96.39003769244826, 98.12120080942078, -3.8075105997289143, -3.2236380056249883, -1.7749677708164011, -5.049279138249044, -4.1906344246037275, -7.260631952835162, -3.9944747784441588, -1.783946148879773]",20.0,0.0,0.0,140.0,2021-09-14 20:23:57.242801
13,13.0,4.0,15.472485800065636,"[-3.6247786903958152, -3.565287960123004, -2.062096780807667, -7.67152553531468, 94.48222388050601, 94.61086810412543, -2.2048399342513165, -2.9126882196591075, 85.04170977384666, -4.1181606897433385]",20.0,1.0,0.1,150.0,2021-09-14 20:23:58.066045
14,14.0,4.0,7.370255557674905,"[-6.408880389086687, 95.21102976689677, -7.76369682710303, -7.2708537748712345, -5.565143233994691, 92.95791790936207, 92.10871001559445, -3.7072183545277135, -4.026629224569661, -2.244402119968792]",20.0,0.0,0.0,160.0,2021-09-14 20:23:58.883351
15,15.0,4.0,6.137408788467856,"[-8.152179369856816, -4.133645319059699, -6.396975448662756, -6.989960027026377, -3.615665589831845, -6.42443252350395, -3.418846986563027, -3.809506239259136, -4.1065910208251974, -7.709638510062632]",20.0,0.0,0.0,170.0,2021-09-14 20:23:59.699895
16,16.0,4.0,5.114350667424867,"[-2.8806201610143964, -7.773305807328124, -4.190737244643397, -3.51089565847842, -4.208094988235775, -5.466051078413708, -3.436237060662181, -3.7598335488231225, -2.6846140017320144, -14.89251094058549]",20.0,0.0,0.1,180.0,2021-09-14 20:24:00.521385
17,17.0,4.0,3.3648047330986897,"[-4.605531299505508, -4.900612333338372, -14.936906576225667, 96.8976963437287, -1.9809611523443058, -1.6231214817538275, -5.444860723117224, -3.4138860710498236, -1.6766396081745325, -7.768306729445768]",20.0,0.0,0.1,190.0,2021-09-14 20:24:01.357261
18,18.0,4.0,15.597074355317247,"[95.6142558955709, 92.77394010653619, 96.69480454100446, 94.51396123343406, -4.513523580044124, -4.2598335680676565, -6.947133630110694, 96.62636788862675, 96.86593668630212, 95.43344000632007]",20.0,1.0,0.0,200.0,2021-09-14 20:24:02.190967
19,19.0,4.0,5.0733165528806765,"[-3.997568296397462, -5.307321852419668, 96.33696275067034, -5.59145891704035, -3.5460974384044044, -5.260697819640781, -4.4159338670106285, 96.91859880958496, -7.258071958074041, 97.00832088534408]",20.0,0.0,0.0,210.0,2021-09-14 20:24:03.020550
20,20.0,4.0,5.219438722439642,"[-5.122397437586032, -4.295176031658473, -3.894468790088857, -7.401701064034448, -6.882285919199456, -2.3738759393944338, -5.232903892517276, -3.10721171296508, -2.5650953659849316, -3.2255871179025286]",20.0,0.0,0.0,220.0,2021-09-14 20:24:03.825698
21,21.0,4.0,6.946201922759758,"[-5.3878204501950675, -5.159248966719784, -3.274593397386331, -6.519791797513854, -14.879669117462564, -2.3698665759385027, -1.987238783191975, -4.667837861314875, -3.763476164576976, -3.59924445668648]",20.0,0.0,0.1,230.0,2021-09-14 20:24:04.642734
22,22.0,4.0,7.26342426630481,"[-7.119168011561999, -7.187759030066709, -14.611668997075242, -2.91951595933235, -6.449153285159846, -2.0778717948373173, -4.781781045240522, -6.315753752422512, 92.80125951300212, -3.152048204784559]",20.0,0.0,0.1,240.0,2021-09-14 20:24:05.461434
23,23.0,4.0,7.911649921774019,"[-15.792789791974995, -4.026976685602377, -3.9169535570527247, 92.29784990327137, -5.129465007607966, -4.094777903106809, -4.016268562649966, -4.785307422154711, -14.7878565208967, 93.93107370064536]",20.0,0.0,0.2,250.0,2021-09-14 20:24:06.280470
24,24.0,4.0,14.720396186642668,"[-7.3776407477182016, 93.27456852425767, 96.1362061674999, -2.9101038965889985, -14.756868672549649, 96.86289132664817, -4.567962743028007, -4.557240108198465, -2.477705579632137, -3.142486039920347]",20.0,1.0,0.1,260.0,2021-09-14 20:24:07.099719
25,25.0,4.0,4.737554096829326,"[-7.9323087660984815, 96.2736613658419, -6.766083168593345, 95.67972689231237, -5.082332265397542, 96.55009886193817, -14.881153480613653, 96.71450382696804, 96.36880618623667, -4.2617641157935156]",20.0,0.0,0.1,270.0,2021-09-14 20:24:07.923246
26,26.0,4.0,14.923631601940661,"[-3.5541924761299075, -14.961105098241635, -5.483725492713124, -4.561038932912914, -4.468482916233185, -4.228672715179666, 92.30992248490006, -5.170974863567909, 93.07134656581168, -5.047081304022968]",20.0,1.0,0.1,280.0,2021-09-14 20:24:08.745015
27,27.0,4.0,14.319529467266436,"[-7.305640481217437, -4.152331678375424, -7.159713868828429, 96.91412705554735, -5.364957386427896, -3.8851813851206125, 96.17732235644215, -14.688300314585156, -14.456121061450508, -4.2058143619036255]",20.0,1.0,0.2,290.0,2021-09-14 20:24:09.566559
28,28.0,4.0,15.103779270475966,"[-5.022602632614195, -6.022793267144057, 96.11470826247692, 93.88183457315249, -7.244528926569829, -3.7728613010231986, -6.025313634943813, 95.84446533610513, 96.85830528466566, -7.200686422660271]",20.0,1.0,0.0,300.0,2021-09-14 20:24:10.388452
29,29.0,4.0,14.65980502504436,"[-2.5285061623066305, -4.956211541998905, -7.490535067442905, -7.958249785952863, -5.92010740486725, -4.687029402810601, -4.345161038894543, -3.437612468939361, -7.50324780631153, -14.302140025405734]",20.0,1.0,0.1,310.0,2021-09-14 20:24:11.207784
30,30.0,4.0,14.96422317912048,"[-6.996518631700327, 96.20912151743218, -7.084316152835894, -14.988924692851725, -15.063060887650787, 96.71309979643225, -14.325961041869611, -6.122926457534829, -4.6374242676668915, -14.595805394099601]",20.0,1.0,0.4,320.0,2021-09-14 20:24:12.039300
31,31.0,4.0,7.570421418442644,"[-7.431681425391665, -7.545711704237181, -7.833909182460177, -14.83731064959061, -7.6186975360369456, -7.743483348251915, -14.324044548186178, -14.921615858083594, -15.000166281366232, -7.8398226343304085]",20.0,0.0,0.4,330.0,2021-09-14 20:24:12.871189
32,32.0,4.0,14.636622683954268,"[-7.398776356050478, -14.910326308562237, -4.635410841206937, -14.924729275799177, -7.573496183774998, -15.00114864778879, -6.7669033890959716, -6.070977393203049, -7.942424457744963, -7.144744560101563]",20.0,1.0,0.3,340.0,2021-09-14 20:24:13.694690
33,33.0,4.0,14.560137458067647,"[-14.454288293406703, -15.1946714612799, -14.780097902821984, -14.865441962865678, -4.479601616624904, -6.558106930888027, -5.908642496440503, -8.27898376199071, -5.152417937857168, -7.618905785297637]",20.0,1.0,0.4,350.0,2021-09-14 20:24:14.518793
34,34.0,4.0,14.52226409178941,"[-16.07193411303644, -5.032693482040168, -4.1288200453059325, -14.609686346678014, -14.992239677947815, -5.396011251754386, -7.676293789667143, -8.256461013901918, -16.05023998109947, -4.9709504200425805]",20.0,1.0,0.4,360.0,2021-09-14 20:24:15.344416
35,35.0,4.0,15.044821304449593,"[-7.932204474697283, -5.643050905901975, -4.127081087419495, -6.4987492572130865, -7.716309111115666, -7.893827697500339, -4.791875261425771, -14.74289119564451, -4.893903105680029, -5.8186529963639595]",20.0,1.0,0.1,370.0,2021-09-14 20:24:16.162410
36,36.0,4.0,6.864559716788147,"[-8.295464965981932, -7.538250649949282, -6.577194889068104, -6.513478436933338, -4.566850208637468, -5.152857621513495, -14.83449871573292, -7.386640650637173, -5.466758898913561, -14.885692093726563]",20.0,0.0,0.2,380.0,2021-09-14 20:24:16.982268
37,37.0,4.0,14.635602850010162,"[-4.449363560424394, -14.465781334168552, -7.666872534880558, -14.714065454387834, -14.578003813902113, -4.80459062700058, -6.531538506572844, -7.680131353574364, -14.877173657206283, -14.324566845362291]",20.0,1.0,0.5,390.0,2021-09-14 20:24:17.806741
38,38.0,4.0,14.554570235920353,"[-14.65623248413003, -7.578773975027272, -7.209759393544582, -7.721849609394138, -7.647841072690433, -4.690940405791996, -15.041816938703926, -7.640300078125665, -8.14603894059003, -7.792298809937513]",20.0,1.0,0.2,400.0,2021-09-14 20:24:18.631996
39,39.0,4.0,14.800651004137729,"[-7.635012944291072, -14.725016915612654, -7.507489275061441, -7.71942576699771, -14.853657209615367, -14.765042924378854, -7.477676469532549, -14.754978245580258, -7.165467648558783, -7.685053622098166]",20.0,1.0,0.4,410.0,2021-09-14 20:24:19.456431
40,40.0,4.0,14.505945584348462,"[-5.521880070095387, -14.62855707176935, -8.05524159478014, -7.383865400274045, -7.399804852873718, -7.478298449111567, -7.624407120989441, -15.021834793513147, -5.9841778941692025, -7.616004648890178]",20.0,1.0,0.2,420.0,2021-09-14 20:24:20.278095
41,41.0,4.0,15.080140421503085,"[-14.554005836060924, -14.617266311888521, -7.640627796471661, -15.082106793789114, -14.55311091144912, -15.125339033864202, -14.714848689836558, -15.112174180463631, -14.686210536574494, -14.92247767973655]",20.0,1.0,0.9,430.0,2021-09-14 20:24:21.113472
42,42.0,4.0,14.522350626176918,"[-14.691150833366763, -14.959214050633125, -7.662456230275169, -14.738590694980832, -6.88057398396075, -14.984944450412106, -14.626522637435132, -15.03251895324436, -14.811800740231714, -14.430182817015062]",20.0,1.0,0.8,440.0,2021-09-14 20:24:21.947309
43,43.0,4.0,14.474088311467884,"[-14.673041202052334, -15.00845070875776, -15.052599639893478, -8.196556960373744, -15.285290394903134, -6.776362948935349, -7.915790994316677, -14.871718867751918, -15.007869348374776, -14.481490870642187]",20.0,1.0,0.7,450.0,2021-09-14 20:24:22.783225
44,44.0,4.0,14.71807042865914,"[-14.654875866886172, -7.565203742105382, -14.762389437178701, -7.030691001830675, -6.572783747750413, -7.259836056363029, -6.856097306554005, -14.62101834064188, -8.055263052146717, -7.6326038797566165]",20.0,1.0,0.3,460.0,2021-09-14 20:24:23.612387
45,45.0,4.0,14.737080780966783,"[-16.112599728802383, -7.959079551082043, -8.50934529861571, -14.552064984800083, -7.8886746021811165, -14.619551194604654, -7.606579300567482, -14.612139053767013, -7.887967975005012, -14.930236322547334]",20.0,1.0,0.5,470.0,2021-09-14 20:24:24.441989
46,46.0,4.0,14.615112407664935,"[-8.186226550171076, -15.048011813396021, -14.822246105856753, -7.983592457020474, -14.620160862140239, -14.487050918384558, -14.677146039455494, -14.65134795183207, -14.676867481343884, -15.021987352456573]",20.0,1.0,0.8,480.0,2021-09-14 20:24:25.281428
47,47.0,4.0,14.72504574745465,"[-14.806093130295478, -14.902121537781634, -8.256830200020268, -14.802262007197529, -7.583981367867145, -14.74799408397304, -14.966628639247649, -7.9761923189719734, -15.894834119995172, -14.779514596857867]",20.0,1.0,0.7,490.0,2021-09-14 20:24:26.117896
48,48.0,4.0,14.769099451400805,"[-14.584911128733747, -7.519274982361675, -7.575816514674376, -15.16329727732806, -14.672763476984947, -14.802546796697696, -14.697599673259003, -14.817263994160015, -7.737031044294988, -14.611316674513343]",20.0,1.0,0.7,500.0,2021-09-14 20:24:26.960304
49,49.0,4.0,14.906679870293713,"[-6.412853949570949, -7.692996513391527, -14.904265481936429, -14.465962732278133, -14.778594751697447, -7.570469468183327, -14.88844602873582, -14.639643269013039, -7.105528619542734, -5.978547471566749]",20.0,1.0,0.5,510.0,2021-09-14 20:24:27.784639
50,50.0,4.0,14.76494316005312,"[-14.626008726447024, -14.806069422173351, -7.624240380947366, -14.726353083501165, -7.442589080846069, -14.844896291024472, -7.573126804970802, -14.507049257641809, -14.730752222033576, -14.627740979885154]",20.0,1.0,0.7,520.0,2021-09-14 20:24:28.657671
51,51.0,4.0,14.875557294163094,"[-7.635185804603916, -14.73498791430158, -6.8823036110695375, -7.45031255178133, -7.214869566801385, -7.10377722638587, -7.9351651809046615, -15.331022423694188, -14.68935716945431, -14.795138180952343]",20.0,1.0,0.4,530.0,2021-09-14 20:24:29.493623
52,52.0,4.0,6.747087632796987,"[-14.884770336217532, -6.860238070973484, -14.581827611186565, -14.407437296073041, -7.602341025970481, -14.738767968986048, -15.645302268929646, -6.951179324276965, -14.745184003089141, -15.163913609177467]",20.0,0.0,0.7,540.0,2021-09-14 20:24:30.329507
53,53.0,4.0,14.793574918819477,"[-14.847032472783203, -6.337886105083243, -7.098022663988918, -14.878825027352782, -4.445508096177934, -14.5988394799066, -4.950385737253537, -7.572754844158302, -4.81598561119248, -14.609109567141541]",20.0,1.0,0.4,550.0,2021-09-14 20:24:31.156819
54,54.0,4.0,7.163809419128445,"[-14.823448264672999, -14.36557225816905, -14.520236710140603, -14.920120716940128, -15.09084864935507, -14.599974136719906, -15.2710911952767, -7.7347259682432, -14.38257958399751, -15.247953112352613]",20.0,0.0,0.9,560.0,2021-09-14 20:24:31.995340
55,55.0,4.0,7.018967292147954,"[-15.046582686421266, -7.4880430198018475, -6.8590034117846015, -14.872842173418311, -15.002265443402964, -14.924293159434995, -14.606037606787186, -15.372331766594133, -14.696783786163717, -15.523708202214314]",20.0,0.0,0.8,570.0,2021-09-14 20:24:32.828548
56,56.0,4.0,14.371962169640147,"[-14.759384946360036, -14.870728704857452, -14.985410731648011, -7.252284431580985, -15.0578743905048, -6.978654093221021, -7.141895289166853, -6.805904288586064, -5.348222994261823, -15.192688109777812]",20.0,1.0,0.5,580.0,2021-09-14 20:24:33.662942
57,57.0,4.0,14.885591405295806,"[-6.855664407372767, -14.898002779010971, -7.949804191086943, -8.121967920804758, -7.209281368132048, -15.910868489605708, -15.080492771370324, -7.542310281844006, -15.052637668745907, -7.784596453700123]",20.0,1.0,0.4,590.0,2021-09-14 20:24:34.495642
58,58.0,4.0,14.602577336235774,"[-14.744910891886327, -6.495875335371726, -7.555844299616622, -7.383582007727057, -14.628871415097914, -14.581901394984754, -15.564113491043557, -6.418118183154591, -8.166817892279033, -14.995114791630751]",20.0,1.0,0.5,600.0,2021-09-14 20:24:35.338364
59,59.0,4.0,7.051287165956376,"[-15.373540285453883, -14.950634634678583, -15.640831704867827, -14.683845322779694, -15.309779395840664, -14.645638331709577, -14.867826005812997, -6.928786695174754, -15.016095358305359, -14.604988813036506]",20.0,0.0,0.9,610.0,2021-09-14 20:24:36.183477
60,60.0,4.0,5.727362492376526,"[-14.68963270196244, -14.688909562512821, -5.775560063142958, -15.396994432367517, -8.10539790597666, -14.959025485071198, -5.541650059237837, -14.658789452761315, -14.63940586804813, -14.758003413686858]",20.0,0.0,0.7,620.0,2021-09-14 20:24:37.021940
